date,datatype,station,attributes,value
2018-01-09T00:00:00,RHMN,GHCND:USW00013781,",,W,",51.0
2018-01-09T00:00:00,RHMX,GHCND:USW00013781,",,W,",100.0
2018-01-09T00:00:00,SNOW,GHCND:USW00013781,",,W,",0.0
2018-01-09T00:00:00,SNWD,GHCND:USW00013781,",,W,",30.0
2018-01-09T00:00:00,TMAX,GHCND:USW00013781,",,W,2400",78.0
2018-01-09T00:00:00,TMIN,GHCND:USW00013781,",,W,2400",-60.0
2018-01-09T00:00:00,WDF2,GHCND:USW00013781,",,W,",320.0
2018-01-09T00:00:00,WDF5,GHCND:USW00013781,",,W,",300.0
2018-01-09T00:00:00,WSF2,GHCND:USW00013781,",,W,",94.0
2018-01-09T00:00:00,WSF5,GHCND:USW00013781,",,W,",121.0
2018-01-09T00:00:00,WT01,GHCND:USW00013781,",,W,",1.0
2018-01-09T00:00:00,WT02,GHCND:USW00013781,",,W,",1.0
2018-01-10T00:00:00,ADPT,GHCND:USW00013781,",,W,",-28.0
2018-01-10T00:00:00,ASLP,GHCND:USW00013781,",,W,",10312.0
2018-01-10T00:00:00,ASTP,GHCND:USW00013781,",,W,",10278.0
2018-01-10T00:00:00,AWBT,GHCND:USW00013781,",,W,",0.0
2018-01-10T00:00:00,AWND,GHCND:USW00013781,",,W,",18.0
2018-01-10T00:00:00,PRCP,GHCND:USW00013781,",,W,2400",0.0
2018-01-10T00:00:00,RHAV,GHCND:USW00013781,",,W,",73.0
2018-01-10T00:00:00,RHMN,GHCND:USW00013781,",,W,",53.0
2018-01-10T00:00:00,RHMX,GHCND:USW00013781,",,W,",88.0
2018-01-10T00:00:00,SNOW,GHCND:USW00013781,",,W,",0.0
2018-01-10T00:00:00,SNWD,GHCND:USW00013781,",,W,",0.0
2018-01-10T00:00:00,TMAX,GHCND:USW00013781,",,W,2400",56.0
2018-01-10T00:00:00,TMIN,GHCND:USW00013781,",,W,2400",-49.0
2018-01-10T00:00:00,WDF2,GHCND:USW00013781,",,W,",60.0
2018-01-10T00:00:00,WDF5,GHCND:USW00013781,",,W,",160.0
2018-01-10T00:00:00,WSF2,GHCND:USW00013781,",,W,",45.0
2018-01-10T00:00:00,WSF5,GHCND:USW00013781,",,W,",54.0
2018-01-11T00:00:00,ADPT,GHCND:USW00013781,",,W,",50.0
2018-01-11T00:00:00,ASLP,GHCND:USW00013781,",,W,",10264.0
2018-01-11T00:00:00,ASTP,GHCND:USW00013781,",,W,",10240.0
2018-01-11T00:00:00,AWBT,GHCND:USW00013781,",,W,",61.0
2018-01-11T00:00:00,AWND,GHCND:USW00013781,",,W,",18.0
2018-01-11T00:00:00,PRCP,GHCND:USW00013781,",,W,2400",0.0
2018-01-11T00:00:00,RHAV,GHCND:USW00013781,",,W,",84.0
2018-01-11T00:00:00,RHMN,GHCND:USW00013781,",,W,",67.0
2018-01-11T00:00:00,RHMX,GHCND:USW00013781,",,W,",100.0
2018-01-11T00:00:00,SNOW,GHCND:USW00013781,",,W,",0.0
2018-01-11T00:00:00,SNWD,GHCND:USW00013781,",,W,",0.0
2018-01-11T00:00:00,TMAX,GHCND:USW00013781,",,W,2400",133.0
2018-01-11T00:00:00,TMIN,GHCND:USW00013781,",,W,2400",33.0
2018-01-11T00:00:00,WDF2,GHCND:USW00013781,",,W,",160.0
2018-01-11T00:00:00,WDF5,GHCND:USW00013781,",,W,",160.0
2018-01-11T00:00:00,WSF2,GHCND:USW00013781,",,W,",67.0
2018-01-11T00:00:00,WSF5,GHCND:USW00013781,",,W,",85.0
2018-01-11T00:00:00,WT01,GHCND:USW00013781,",,W,",1.0
2018-01-11T00:00:00,WT02,GHCND:USW00013781,",,W,",1.0
2018-01-12T00:00:00,ADPT,GHCND:USW00013781,",,W,",117.0
2018-01-12T00:00:00,ASLP,GHCND:USW00013781,",,W,",10098.0
2018-01-12T00:00:00,ASTP,GHCND:USW00013781,",,W,",10088.0
2018-01-12T00:00:00,AWBT,GHCND:USW00013781,",,W,",117.0
2018-01-12T00:00:00,AWND,GHCND:USW00013781,",,W,",44.0
2018-01-12T00:00:00,PRCP,GHCND:USW00013781,",,W,2400",318.0
2018-01-12T00:00:00,RHAV,GHCND:USW00013781,",,W,",100.0
2018-01-12T00:00:00,RHMN,GHCND:USW00013781,",,W,",100.0
2018-01-12T00:00:00,RHMX,GHCND:USW00013781,",,W,",100.0
2018-01-12T00:00:00,SNOW,GHCND:USW00013781,",,W,",0.0
2018-01-12T00:00:00,SNWD,GHCND:USW00013781,",,W,",0.0
2018-01-12T00:00:00,TMAX,GHCND:USW00013781,",,W,2400",167.0
2018-01-12T00:00:00,TMIN,GHCND:USW00013781,",,W,2400",83.0
2018-01-12T00:00:00,WDF2,GHCND:USW00013781,",,W,",170.0
2018-01-12T00:00:00,WDF5,GHCND:USW00013781,",,W,",170.0
2018-01-12T00:00:00,WSF2,GHCND:USW00013781,",,W,",76.0
2018-01-12T00:00:00,WSF5,GHCND:USW00013781,",,W,",116.0
2018-01-12T00:00:00,WT01,GHCND:USW00013781,",,W,",1.0
2018-01-12T00:00:00,WT02,GHCND:USW00013781,",,W,",1.0
2018-01-13T00:00:00,ADPT,GHCND:USW00013781,",,W,",-44.0
2018-01-13T00:00:00,ASLP,GHCND:USW00013781,",,W,",10146.0
2018-01-13T00:00:00,ASTP,GHCND:USW00013781,",,W,",10081.0
2018-01-13T00:00:00,AWBT,GHCND:USW00013781,",,W,",-6.0
2018-01-13T00:00:00,AWND,GHCND:USW00013781,",,W,",82.0
2018-01-13T00:00:00,PRCP,GHCND:USW00013781,",,W,2400",15.0
2018-01-13T00:00:00,RHAV,GHCND:USW00013781,",,W,",65.0
